continent,location,date,population,new_vaccinations,RollingPeopleVaccinated,Percent_Vaccinated
Asia,Afghanistan,2020-10-06,41128772,,,
Asia,Afghanistan,2020-10-07,41128772,,,
Asia,Afghanistan,2020-10-08,41128772,,,
Asia,Afghanistan,2020-10-09,41128772,,,
Asia,Afghanistan,2020-10-10,41128772,,,
Asia,Afghanistan,2020-10-11,41128772,,,
Asia,Afghanistan,2020-10-12,41128772,,,
Asia,Afghanistan,2020-10-13,41128772,,,
Asia,Afghanistan,2020-10-14,41128772,,,
Asia,Afghanistan,2020-10-15,41128772,,,
Asia,Afghanistan,2020-10-16,41128772,,,
Asia,Afghanistan,2020-10-17,41128772,,,
Asia,Afghanistan,2020-10-18,41128772,,,
Asia,Afghanistan,2020-10-19,41128772,,,
Asia,Afghanistan,2020-10-20,41128772,,,
Asia,Afghanistan,2020-10-21,41128772,,,
Asia,Afghanistan,2020-10-22,41128772,,,
Asia,Afghanistan,2020-10-23,41128772,,,
Asia,Afghanistan,2020-10-24,41128772,,,
Asia,Afghanistan,2020-10-25,41128772,,,
Asia,Afghanistan,2020-10-26,41128772,,,
Asia,Afghanistan,2020-10-27,41128772,,,
Asia,Afghanistan,2020-10-28,41128772,,,
Asia,Afghanistan,2020-10-29,41128772,,,
Asia,Afghanistan,2020-10-30,41128772,,,
Asia,Afghanistan,2020-10-31,41128772,,,
Asia,Afghanistan,2020-11-01,41128772,,,
Asia,Afghanistan,2020-11-02,41128772,,,
Asia,Afghanistan,2020-11-03,41128772,,,
Asia,Afghanistan,2020-11-04,41128772,,,
Asia,Afghanistan,2020-11-05,41128772,,,
Asia,Afghanistan,2020-11-06,41128772,,,
Asia,Afghanistan,2020-11-07,41128772,,,
Asia,Afghanistan,2020-11-08,41128772,,,
Asia,Afghanistan,2020-11-09,41128772,,,
Asia,Afghanistan,2020-11-10,41128772,,,
Asia,Afghanistan,2020-11-11,41128772,,,
Asia,Afghanistan,2020-11-12,41128772,,,
Asia,Afghanistan,2020-11-13,41128772,,,
Asia,Afghanistan,2020-11-14,41128772,,,
Asia,Afghanistan,2020-11-15,41128772,,,
Asia,Afghanistan,2020-11-16,41128772,,,
Asia,Afghanistan,2020-11-17,41128772,,,
Asia,Afghanistan,2020-11-18,41128772,,,
Asia,Afghanistan,2020-11-19,41128772,,,
Asia,Afghanistan,2020-11-20,41128772,,,
Asia,Afghanistan,2020-11-21,41128772,,,
Asia,Afghanistan,2020-11-22,41128772,,,
Asia,Afghanistan,2020-11-23,41128772,,,
Asia,Afghanistan,2020-11-24,41128772,,,
Asia,Afghanistan,2020-11-25,41128772,,,
Asia,Afghanistan,2020-11-26,41128772,,,
Asia,Afghanistan,2020-11-27,41128772,,,
Asia,Afghanistan,2020-11-28,41128772,,,
Asia,Afghanistan,2020-11-29,41128772,,,
Asia,Afghanistan,2020-11-30,41128772,,,
Asia,Afghanistan,2020-12-01,41128772,,,
Asia,Afghanistan,2020-12-02,41128772,,,
Asia,Afghanistan,2020-12-03,41128772,,,
Asia,Afghanistan,2020-12-04,41128772,,,
Asia,Afghanistan,2020-12-05,41128772,,,
Asia,Afghanistan,2020-12-06,41128772,,,
Asia,Afghanistan,2020-12-07,41128772,,,
Asia,Afghanistan,2020-12-08,41128772,,,
Asia,Afghanistan,2020-12-09,41128772,,,
Asia,Afghanistan,2020-12-10,41128772,,,
Asia,Afghanistan,2020-12-11,41128772,,,
Asia,Afghanistan,2020-12-12,41128772,,,
Asia,Afghanistan,2020-12-13,41128772,,,
Asia,Afghanistan,2020-12-14,41128772,,,
Asia,Afghanistan,2020-12-15,41128772,,,
Asia,Afghanistan,2020-12-16,41128772,,,
Asia,Afghanistan,2020-12-17,41128772,,,
Asia,Afghanistan,2020-12-18,41128772,,,
Asia,Afghanistan,2020-12-19,41128772,,,
Asia,Afghanistan,2020-12-20,41128772,,,
Asia,Afghanistan,2020-12-21,41128772,,,
Asia,Afghanistan,2020-12-22,41128772,,,
Asia,Afghanistan,2020-12-23,41128772,,,
Asia,Afghanistan,2020-12-24,41128772,,,
Asia,Afghanistan,2020-12-25,41128772,,,
Asia,Afghanistan,2020-12-26,41128772,,,
Asia,Afghanistan,2020-12-27,41128772,,,
Asia,Afghanistan,2020-12-28,41128772,,,
Asia,Afghanistan,2020-12-29,41128772,,,
Asia,Afghanistan,2020-12-30,41128772,,,
Asia,Afghanistan,2020-12-31,41128772,,,
Asia,Afghanistan,2021-01-01,41128772,,,
Asia,Afghanistan,2021-01-02,41128772,,,
Asia,Afghanistan,2021-01-03,41128772,,,
Asia,Afghanistan,2021-01-04,41128772,,,
Asia,Afghanistan,2021-01-05,41128772,,,
Asia,Afghanistan,2021-01-06,41128772,,,
Asia,Afghanistan,2021-01-07,41128772,,,
Asia,Afghanistan,2021-01-08,41128772,,,
Asia,Afghanistan,2021-01-09,41128772,,,
Asia,Afghanistan,2021-01-10,41128772,,,
Asia,Afghanistan,2021-01-11,41128772,,,
Asia,Afghanistan,2021-01-12,41128772,,,
Asia,Afghanistan,2021-01-13,41128772,,,
Asia,Afghanistan,2021-01-14,41128772,,,
Asia,Afghanistan,2021-01-15,41128772,,,
Asia,Afghanistan,2021-01-16,41128772,,,
Asia,Afghanistan,2021-01-17,41128772,,,
Asia,Afghanistan,2021-01-18,41128772,,,
Asia,Afghanistan,2021-01-19,41128772,,,
Asia,Afghanistan,2021-01-20,41128772,,,
Asia,Afghanistan,2021-01-21,41128772,,,
Asia,Afghanistan,2021-01-22,41128772,,,
Asia,Afghanistan,2021-01-23,41128772,,,
Asia,Afghanistan,2021-01-24,41128772,,,
Asia,Afghanistan,2021-01-25,41128772,,,
Asia,Afghanistan,2021-01-26,41128772,,,
Asia,Afghanistan,2021-01-27,41128772,,,
Asia,Afghanistan,2021-01-28,41128772,,,
Asia,Afghanistan,2021-01-29,41128772,,,
Asia,Afghanistan,2021-01-30,41128772,,,
Asia,Afghanistan,2021-01-31,41128772,,,
Asia,Afghanistan,2021-02-01,41128772,,,
Asia,Afghanistan,2021-02-02,41128772,,,
Asia,Afghanistan,2021-02-03,41128772,,,
Asia,Afghanistan,2021-02-04,41128772,,,
Asia,Afghanistan,2021-02-05,41128772,,,
Asia,Afghanistan,2021-02-06,41128772,,,
Asia,Afghanistan,2021-02-07,41128772,,,
Asia,Afghanistan,2021-02-08,41128772,,,
Asia,Afghanistan,2021-02-09,41128772,,,
Asia,Afghanistan,2021-02-10,41128772,,,
Asia,Afghanistan,2021-02-11,41128772,,,
Asia,Afghanistan,2021-02-12,41128772,,,
Asia,Afghanistan,2021-02-13,41128772,,,
Asia,Afghanistan,2021-02-14,41128772,,,
Asia,Afghanistan,2021-02-15,41128772,,,
Asia,Afghanistan,2021-02-16,41128772,,,
Asia,Afghanistan,2021-02-17,41128772,,,
Asia,Afghanistan,2021-02-18,41128772,,,
Asia,Afghanistan,2021-02-19,41128772,,,
Asia,Afghanistan,2021-02-20,41128772,,,
Asia,Afghanistan,2021-02-21,41128772,,,
Asia,Afghanistan,2021-02-22,41128772,,,
Asia,Afghanistan,2021-02-23,41128772,,,
Asia,Afghanistan,2021-02-24,41128772,,,
Asia,Afghanistan,2021-02-25,41128772,,,
Asia,Afghanistan,2021-02-26,41128772,,,
Asia,Afghanistan,2021-02-27,41128772,,,
Asia,Afghanistan,2021-02-28,41128772,,,
Asia,Afghanistan,2021-03-01,41128772,,,
Asia,Afghanistan,2021-03-02,41128772,,,
Asia,Afghanistan,2021-03-03,41128772,,,
Asia,Afghanistan,2021-03-04,41128772,,,
Asia,Afghanistan,2021-03-05,41128772,,,
Asia,Afghanistan,2021-03-06,41128772,,,
Asia,Afghanistan,2021-03-07,41128772,,,
Asia,Afghanistan,2021-03-08,41128772,,,
Asia,Afghanistan,2021-03-09,41128772,,,
Asia,Afghanistan,2021-03-10,41128772,,,
Asia,Afghanistan,2021-03-11,41128772,,,
Asia,Afghanistan,2021-03-12,41128772,,,
